Source,Target,Type,Id,Label,timeset,Weight
1,240,Undirected,603,,,2
1,241,Undirected,604,,,2
1,242,Undirected,605,,,2
1,238,Undirected,606,,,8
1,245,Undirected,607,,,2
1,246,Undirected,608,,,5
1,247,Undirected,609,,,0.5
1,248,Undirected,610,,,5
1,251,Undirected,611,,,0.5
1,252,Undirected,612,,,0.5
1,250,Undirected,613,,,5
1,263,Undirected,614,,,0.5
1,264,Undirected,615,,,0.5
1,265,Undirected,616,,,0.5
1,266,Undirected,617,,,0.5
1,273,Undirected,618,,,2
1,274,Undirected,619,,,2
1,275,Undirected,620,,,2
1,259,Undirected,621,,,2
1,276,Undirected,622,,,2
1,277,Undirected,623,,,2
1,278,Undirected,624,,,2
1,279,Undirected,625,,,2
1,262,Undirected,626,,,0.5
1,267,Undirected,627,,,0.5
1,268,Undirected,628,,,0.5
1,269,Undirected,629,,,0.5
1,270,Undirected,630,,,0.5
1,271,Undirected,631,,,0.5
1,272,Undirected,632,,,0.5
1,281,Undirected,633,,,2
1,284,Undirected,634,,,5
1,286,Undirected,637,,,10
2,127,Undirected,641,,,0.5
2,126,Undirected,642,,,2
2,150,Undirected,643,,,5
2,162,Undirected,644,,,0.5
2,163,Undirected,645,,,2
2,164,Undirected,646,,,2
2,167,Undirected,647,,,0.5
2,168,Undirected,648,,,0.5
2,169,Undirected,649,,,0.5
2,170,Undirected,650,,,0.5
2,171,Undirected,651,,,0.5
2,172,Undirected,652,,,0.5
2,173,Undirected,653,,,0.5
2,155,Undirected,654,,,0.5
2,156,Undirected,655,,,0.5
2,179,Undirected,656,,,8
2,180,Undirected,657,,,8
2,181,Undirected,658,,,8
2,182,Undirected,659,,,0.5
2,183,Undirected,660,,,0.5
2,10,Undirected,661,,,8
2,184,Undirected,662,,,8
2,185,Undirected,663,,,8
2,186,Undirected,664,,,8
2,187,Undirected,665,,,5
2,200,Undirected,666,,,5
2,194,Undirected,667,,,8
2,196,Undirected,668,,,5
2,197,Undirected,669,,,5
2,193,Undirected,670,,,5
2,191,Undirected,671,,,0.5
2,192,Undirected,672,,,0.5
2,195,Undirected,673,,,5
2,198,Undirected,674,,,5
2,199,Undirected,675,,,8
2,201,Undirected,676,,,0.5
2,202,Undirected,677,,,0.5
2,203,Undirected,678,,,0.5
2,206,Undirected,679,,,2
2,211,Undirected,680,,,2
2,213,Undirected,681,,,8
2,214,Undirected,682,,,2
2,215,Undirected,683,,,2
2,216,Undirected,684,,,2
2,219,Undirected,685,,,8
2,224,Undirected,686,,,8
2,220,Undirected,687,,,0.5
2,221,Undirected,688,,,0.5
2,222,Undirected,689,,,0.5
2,223,Undirected,690,,,0.5
2,233,Undirected,692,,,0.5
2,234,Undirected,693,,,5
2,235,Undirected,694,,,5
2,236,Undirected,695,,,0.5
2,238,Undirected,696,,,8
2,245,Undirected,697,,,2
2,246,Undirected,698,,,5
2,247,Undirected,699,,,0.5
2,248,Undirected,700,,,5
2,251,Undirected,701,,,0.5
2,252,Undirected,702,,,0.5
2,249,Undirected,703,,,5
2,263,Undirected,704,,,0.5
2,264,Undirected,705,,,0.5
2,265,Undirected,706,,,0.5
2,266,Undirected,707,,,0.5
2,267,Undirected,708,,,5
2,268,Undirected,709,,,5
2,262,Undirected,710,,,5
2,269,Undirected,711,,,5
2,270,Undirected,712,,,5
2,271,Undirected,713,,,5
2,272,Undirected,714,,,5
2,260,Undirected,715,,,5
2,261,Undirected,716,,,5
2,281,Undirected,717,,,0.5
2,280,Undirected,718,,,0.5
2,282,Undirected,719,,,5
2,285,Undirected,722,,,5
2,15,Undirected,723,,,0.5
2,286,Undirected,724,,,10
6,150,Undirected,727,,,5
6,151,Undirected,728,,,8
6,174,Undirected,729,,,8
6,175,Undirected,730,,,8
6,159,Undirected,731,,,5
6,161,Undirected,732,,,5
6,194,Undirected,733,,,8
6,196,Undirected,734,,,5
6,197,Undirected,735,,,5
6,198,Undirected,736,,,5
6,191,Undirected,737,,,0.5
6,192,Undirected,738,,,0.5
6,195,Undirected,739,,,5
6,199,Undirected,740,,,8
6,201,Undirected,741,,,0.5
6,202,Undirected,742,,,0.5
6,203,Undirected,743,,,0.5
6,218,Undirected,744,,,8
6,212,Undirected,745,,,8
6,216,Undirected,746,,,2
6,233,Undirected,747,,,0.5
6,234,Undirected,748,,,5
6,235,Undirected,749,,,5
6,238,Undirected,750,,,8
6,246,Undirected,751,,,5
6,253,Undirected,752,,,5
6,254,Undirected,753,,,5
6,255,Undirected,754,,,5
6,256,Undirected,755,,,5
6,257,Undirected,756,,,5
6,252,Undirected,757,,,0.5
6,281,Undirected,758,,,2
6,284,Undirected,759,,,5
6,286,Undirected,762,,,10
7,150,Undirected,764,,,8
7,152,Undirected,765,,,0.5
7,153,Undirected,766,,,2
7,154,Undirected,767,,,2
7,194,Undirected,768,,,5
7,193,Undirected,769,,,8
7,207,Undirected,770,,,5
7,208,Undirected,771,,,5
7,209,Undirected,772,,,5
7,210,Undirected,773,,,5
7,217,Undirected,774,,,2
7,281,Undirected,775,,,2
7,283,Undirected,776,,,8
7,286,Undirected,777,,,10
8,150,Undirected,778,,,5
8,151,Undirected,779,,,5
8,176,Undirected,780,,,5
8,211,Undirected,781,,,2
8,216,Undirected,782,,,2
8,233,Undirected,783,,,0.5
8,234,Undirected,784,,,5
8,235,Undirected,785,,,5
8,281,Undirected,786,,,2
8,283,Undirected,787,,,0.5
8,280,Undirected,788,,,0.5
8,282,Undirected,789,,,2
8,15,Undirected,790,,,0.5
131,132,Undirected,791,,,10
131,135,Undirected,792,,,5
146,20,Undirected,793,,,10
133,131,Undirected,794,,,0.5
133,132,Undirected,795,,,0.5
133,147,Undirected,796,,,8
142,139,Undirected,797,,,2
142,126,Undirected,798,,,2
142,138,Undirected,799,,,2
142,140,Undirected,800,,,2
142,141,Undirected,801,,,2
142,146,Undirected,802,,,5
142,148,Undirected,803,,,5
137,136,Undirected,804,,,2
137,134,Undirected,805,,,2
144,143,Undirected,806,,,2
126,138,Undirected,807,,,2
126,148,Undirected,808,,,2
147,131,Undirected,809,,,0.5
149,138,Undirected,811,,,0.5
149,139,Undirected,812,,,0.5
149,140,Undirected,813,,,0.5
149,141,Undirected,814,,,0.5
139,140,Undirected,815,,,10
